path,file_type,purpose,phase_created,current_or_superseded,source_of_truth,complete,referenced_by_readme,needs_update,notes
reports/phase_02_handoff.md,markdown,Phase-2 handoff,2,current (historical),no,yes,yes,no,
reports/phase_03_report.md,markdown,Phase-3 report (10 sections) with 3R relabel banner,3,superseded in part by phase_03r_report,partial,yes,yes,yes,"Body still contains '(54, 236]' (SS1,SS4) and 'jump >= 50' wording and 10/10 oracle numbers without CIs; banner corrects but body text contradicts C38"
reports/phase_03_handoff.md,markdown,Phase-3 handoff (relabeled item 3),3,superseded by phase_03r_handoff,no,yes,yes,yes,Item 4 contained the F1>10 error (documented in acceptance review)
reports/phase_03_acceptance_review.md,markdown,Phase-3 acceptance review: verdicts + 10 documented errors,3R,current,yes (phase-3 error record),yes,yes,no,
reports/phase_03r_report.md,markdown,"Phase-3R report (10 sections): corrections, replay, T1-T3, firmware",3R,current,yes (phase-3R technical content),yes,yes,no,
reports/phase_03r_handoff.md,markdown,Phase-3R handoff (14 items),3R,current,yes (phase-3R summary),yes,yes,no,
reports/source_lineage_report.md,markdown,"Source lineage triangle (uploader, Energies use, platform)",2,current,yes (source lineage),yes,yes,no,
reports/asset_identity_evidence.md,markdown,Asset identity evidence,2,current,yes (asset identity),yes,yes,no,
reports/asset_parameter_bounds.md,markdown,Asset parameter bounds,2,current,yes,yes,yes,no,
reports/asset_scope_and_entity_analysis.md,markdown,Entity/scope analysis; C32 statement,2,current,yes (entity scope),yes,yes,no,
reports/conditional_physics_analysis.md,markdown,Conditional physics analysis (A/B sections),2,current,yes (with physics.py),yes,yes,no,
reports/variable_semantics_report.md,markdown,"Variable semantics (units unknown, WTI binary)",2,current,yes (variable semantics),yes,yes,no,
reports/prepublication_inventory.md,markdown,Detailed pre-publication inventory (this task),3R-docs,current,yes (this inventory),yes,no,no,New deliverable
reports/prepublication_inventory_handoff.md,markdown,Inventory handoff (this task),3R-docs,current,yes (this handoff),yes,no,no,New deliverable
reports/generated/alarm_summary.csv,csv,Onset counts for OTI_A/OTI_T/MOG_A/WTI flags,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/alternative_explanations.csv,csv,Alternative-explanation ledger with confidence,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/apparent_tau_per_transition.csv,csv,Apparent channel time constant per transition (sensitivity grid),2,current,yes (numbers for its scope),yes,no,no,
reports/generated/asset_parameter_evidence.csv,csv,Asset parameter evidence table,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/bibliography_register.csv,csv,"Citation metadata register (S-ids, URLs, DOIs, licenses, roles)",2,current,yes (numbers for its scope),yes,no,no,
reports/generated/computational_cost_comparison.csv,csv,"Op counts, illustrative M0 cycles, state sizes, MLP/GBDT references",3,current,yes (numbers for its scope),yes,no,no,
reports/generated/cross_file_alignment.csv,csv,Cross-file timestamp alignment,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/dataset_columns_dtypes.csv,csv,Per-file columns and dtypes,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/dataset_inventory.csv,csv,Per-file rows/coverage inventory,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/duplicate_policy_sensitivity.csv,csv,P1-P4 policy sensitivity of excursion findings,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/duplicate_timestamp_report.csv,csv,Duplicate-timestamp report,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/duplicate_timestamp_summary.csv,csv,Duplicate-timestamp summary,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/event_merge_sensitivity.csv,csv,Event counts vs merge tolerance,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/excursion_electrical_context.csv,csv,Electrical context around excursions,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/filter_per_event_detail.csv,csv,Oracle sweep per-event detail (exploratory),3,current,yes (numbers for its scope),yes,no,no,Oracle-sweep artifact; relabeled exploratory
reports/generated/filter_sweep_summary.csv,csv,"Oracle sweep 1,160-config summary (exploratory)",3,current,yes (numbers for its scope),yes,no,no,Oracle-sweep artifact; relabeled exploratory
reports/generated/flag_transition_intervals.csv,csv,Flag transition intervals,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/high_oti_duplicate_intersection.csv,csv,High-OTI rows in repeated groups (zero),2,current,yes (numbers for its scope),yes,no,no,
reports/generated/latent_stream_diagnostics.csv,csv,Occurrence-stream/entity diagnostics,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/manufacturer_spec_envelope.csv,csv,Manufacturer/utility spec envelope (ETT/BSES/IS 1180),2,current,yes (numbers for its scope),yes,no,no,
reports/generated/oti_autocorrelation.csv,csv,OTI autocorrelation,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/oti_rate_stats.json,json,OTI rate stats,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/oti_rate_summary.csv,csv,OTI rate summary (actual dt),1,current,yes (numbers for its scope),yes,no,no,
reports/generated/oti_threshold_analysis.csv,csv,OTI threshold/OTI_T rule analysis,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/oti_transition_raw_lines.csv,csv,Raw-line provenance of transitions,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/oti_transitions_phase2.csv,csv,Phase-2 transition catalog with rates,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/oti_value_gaps.csv,csv,"OTI value gaps incl. empty interval (54,236)",1,current,yes (numbers for its scope),yes,no,no,
reports/generated/overview_value_distributions.csv,csv,Overview value distributions,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/pareto_frontier.csv,csv,Oracle Pareto frontier (exploratory),3,current,yes (numbers for its scope),yes,no,no,Oracle-sweep artifact; relabeled exploratory
reports/generated/phase_01_summary.json,json,Phase-1 summary + environment,1,current,yes (numbers for its scope),yes,yes,no,
reports/generated/phase_02_summary.json,json,Phase-2 summary + environment,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/phase_03_filter_summary.json,json,Oracle sweep summary; analysis_type=exploratory_oracle_sensitivity,3,current,yes (numbers for its scope),yes,no,no,Oracle-sweep artifact; relabeled exploratory
reports/generated/phase_03r_calibration.json,json,Frozen calibration rules/thresholds per view + alarm-excluded sensitivity,3R,current,yes (numbers for its scope),yes,no,no,
reports/generated/phase_03r_per_event.csv,csv,"Replay per-event: window hit, first alert, persistence k=1/2/3, duty cycle",3R,current,yes (numbers for its scope),yes,no,no,
reports/generated/phase_03r_replay_metrics.csv,csv,"Replay metrics: recall+CI, row P/R/F1, FA+bootstrap CI, denominators",3R,current,yes (numbers for its scope),yes,no,no,
reports/generated/phase_03r_summary.json,json,Replay honesty label + calibration summary + multichannel note,3R,current,yes (numbers for its scope),yes,no,no,
reports/generated/phase_03r_t3_horizons.csv,csv,T3 horizon features 1/6/24h: event vs normal windows,3R,current,yes (numbers for its scope),yes,no,no,
reports/generated/physics_sensitivity.csv,csv,Conditional physics sensitivity grid,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/power_formula_crosscheck.json,json,KVA vs sum(VLx*ILx) cross-check,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/primitive_events.csv,csv,Primitive flag events,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/repeated_record_conflict_summary.csv,csv,Repeated-record conflict summary,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/repeated_record_conflicts.csv,csv,Repeated-record conflict details,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/repeated_timestamps_shared.csv,csv,Cross-file shared repeated timestamps,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/source_claim_matrix.csv,csv,Source claim matrix SC01-SC03,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/timestamp_interval_summary.csv,csv,Interval distribution summary,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/timestamp_multiplicity.csv,csv,Timestamp multiplicity table,1,current,yes (numbers for its scope),yes,no,no,
reports/generated/variable_semantics.csv,csv,Variable semantics/domains,2,current,yes (numbers for its scope),yes,no,no,
reports/generated/documentation_inventory.csv,csv,This documentation inventory,3R-docs,current,yes (numbers for its scope),yes,no,no,
reports/figures/physics_bounds_achievable_dT.png,png,Achievable dT vs assumptions (conditional physics),2,current,no,yes,no,no,Publication-relevant; caption in phase-02 report
reports/figures/physics_bounds_critical_mass.png,png,Critical mass bounds (conditional physics),2,current,no,yes,no,no,Publication-relevant; assumption-labeled
reports/figures/physics_bounds_power_vs_mass.png,png,Power vs mass bounding curves,2,current,no,yes,no,no,Publication-relevant; assumption-labeled
reports/figures/filter_roc_by_type.png,png,Oracle ROC by filter type,3,current (exploratory),no,yes,no,yes,In-image title lacks EXPLORATORY label; must be relabeled or kept out of publication
reports/figures/filter_threshold_sensitivity.png,png,Oracle threshold sensitivity panels,3,current (exploratory),no,yes,no,yes,Same in-image label gap
reports/figures/filter_lead_time_distribution.png,png,Oracle lead-time distribution,3,current (exploratory),no,yes,no,yes,Same in-image label gap
